price,beds,baths,house_size,land_size
17500000,4,4,2800,10
46000000,4,4,3500,11.8
45000000,5,5,3280,7.5
23500000,5,5,3400,9.5
39500000,5,4,3200,6.2
26000000,4,4,3800,10
29000000,4,4,2500,4
25000000,3,4,1500,4
85000000,7,6,5000,19
3800000,4,1,1200,12
18500000,4,4,2000,9
21500000,4,3,2850,6
13000000,4,3,1650,11.5
6700000,1,2,11000,7
26000000,5,4,2850,8.5
12000000,4,3,1800,8.5
21000000,4,3,2200,7
22500000,4,4,2850,8
25000000,4,4,3500,22
18800000,4,4,2250,6.5
120000000,7,1,1000,28
12500000,3,2,1700,10
40230000,3,2,2600,27
8700000,2,2,1220,6
26000000,3,2,2750,35
41000000,4,3,2000,6
13000000,3,2,1600,11.5
11450000,3,3,1340,9.3
27000000,4,2,2500,8.35
29500000,4,3,4500,11
21000000,4,4,2450,7
45000000,4,3,3500,10
20000000,4,3,2850,10.8
39500000,5,4,3500,13
47500000,4,3,2650,20
8700000,3,2,1340,9.5
55000000,5,4,4100,11.5
26500000,4,3,1800,6
7800000,2,1,1200,15
19500000,8,4,6000,6
15900000,4,3,3900,11
47000000,5,4,4800,8
13800000,3,3,1750,10
31500000,5,3,3700,6.5
140000000,5,5,4800,52
25000000,4,4,2650,10
33000000,4,4,4200,13.5
10500000,3,2,900,4
40000000,6,3,2500,7
47500000,10,7,6500,13.5
11000000,3,2,2000,7
10500000,3,1,1300,11
39500000,6,3,4000,12
14200000,3,3,1650,10
22000000,6,3,3500,13.8
22750000,3,3,2600,7
20000000,4,4,2500,10
12800000,3,3,1350,7.67
38000000,7,5,6000,13
46000000,5,4,4500,11
2500000,2,1,900,10
300000000,5,5,7000,12
22000000,4,2,1500,8.5
11500000,4,1,1500,10
14000000,3,3,2000,8
17000000,5,2,2950,11.9
6800000,4,2,1200,6
18000000,2,2,2500,18.2
30000000,4,4,3000,10
7000000,2,1,1200,2
6000000,3,2,800,8.5
42000000,5,4,2500,20
24000000,5,4,3200,10.24
12000000,2,1,5000,20
18000000,3,2,1800,8
15000000,3,1,2000,8
42000000,4,3,3500,7.9
15000000,6,3,2000,12
5000000,2,1,1200,10
19000000,3,4,2400,10
30000000,4,4,3900,8
33000000,3,4,4000,6
9000000,3,3,1480,7.5
33000000,4,4,2700,8
22000000,3,3,2550,10
120000000,6,6,7000,15
14800000,3,2,2500,14.8
33000000,6,4,3750,10
11000000,3,3,1300,6.5
30000000,6,6,2200,6
35000000,3,2,1200,6.99
18500000,3,4,2800,9
50000000,4,3,3000,21
26000000,5,2,3200,11.75
25500000,5,3,3500,17
70000000,5,4,4000,20
29500000,3,4,2800,6
11450000,3,2,1550,7
40000000,4,3,1500,9
5500000,3,1,1400,10.5
19000000,3,3,2900,15
19000000,3,3,1200,6
19500000,4,3,2800,9
23000000,4,3,2800,10
