location,price,beds,baths,house_size,land_size,New,Garden,Security,AC,Near Service,Stories,Parking,Luxury,Pantry,Hot Water,Roller Gate,CCTV,Tiled,Designed,TV Lobby
2,22750000,3,3,2600,7,1,0,0,0,1,2,1,1,1,1,0,0,1,0,1
17,19500000,5,3,3000,9.5,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
9,33500000,5,4,4000,12,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1
22,9700000,2,1,700,6.7,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
31,24800000,3,2,25000,10,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0
22,15400000,3,3,1700,7,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0
17,19000000,3,3,2400,10,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
33,33000000,4,4,2700,8,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0
8,11500000,3,3,1450,7.3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
31,32000000,5,5,3500,8,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0
34,13800000,5,2,2300,6,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0
22,18500000,3,2,1800,22,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
18,180000000,7,7,14000,23,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2,28000000,4,4,3680,10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
17,23000000,4,3,2582,8.6,1,0,0,0,1,2,1,0,1,0,1,0,1,0,0
1,34000000,5,3,3600,19,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0
17,14000000,5,3,1950,6.6,1,0,0,0,1,3,1,0,1,0,0,0,0,0,0
22,24000000,5,4,3400,11.5,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
17,24000000,4,3,2800,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
21,19500000,3,3,2150,8.6,1,0,0,0,1,3,1,0,1,0,0,0,0,0,0
17,20500000,4,3,2850,8,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
22,4300000,3,1,1000,5.72,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
22,14000000,4,3,1800,11,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0
31,21500000,4,3,2500,6.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
24,38000000,4,4,3499,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
17,12000000,3,2,1350,7.2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
16,29000000,3,1,2000,10,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
29,11500000,5,3,2552,15,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
18,19500000,3,3,2040,6.5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
22,18500000,5,3,2500,10,1,0,0,0,1,2,1,1,1,1,0,0,0,0,0
8,22500000,4,4,3200,8,1,1,1,0,1,2,1,0,1,0,1,0,0,1,0
31,21500000,4,3,2500,6.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
28,7300000,2,2,1000,8,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
24,46000000,5,4,2850,7.9,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
24,46000000,5,4,3050,7.9,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
24,50000000,5,6,3750,12,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
23,35000000,4,3,2400,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
31,65000000,4,4,4000,18.12,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
22,21500000,4,3,2200,8,1,1,0,0,1,2,1,1,1,0,1,0,0,0,0
17,30000000,4,4,2400,10,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
11,30000000,5,4,3500,7.5,0,0,0,1,1,3,1,1,1,0,0,0,0,1,1
7,17000000,3,3,3500,9,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
23,60000000,4,4,3450,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
22,25000000,5,2,4000,12.5,0,0,1,0,0,2,1,0,1,0,0,1,0,0,0
24,80000000,10,10,6000,33.5,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
17,37000000,4,4,2900,10,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0
31,80000000,5,4,5000,25.5,0,1,0,1,0,2,1,1,1,1,0,0,0,0,0
1,9000000,3,2,1380,6.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,13000000,3,3,1580,8,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0
2,19800000,4,2,2200,8.6,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0
32,127500000,5,4,9000,18,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0
35,38000000,7,4,1020,3.75,1,0,0,0,0,3,0,0,1,0,0,0,1,0,0
30,25000000,3,3,3500,17,0,1,0,1,1,2,1,1,1,0,0,0,0,1,0
