location,price,beds,baths,house_size,land_size
Talawatugoda,36000000,4,4,3000,8.8
Battaramulla,45000000,4,3,3800,10
Pannipitiya,39000000,5,3,4000,7.2
Battaramulla,255000000,4,4,3500,23.5
Boralesgamuwa,24000000,4,3,2300,7
Kotte,30000000,3,3,2250,6.38
Rajagiriya,30000000,4,1,1700,5.5
Boralesgamuwa,21000000,5,3,2500,9.8
Kottawa,13000000,3,3,1580,8
Malabe,22500000,4,4,2800,8
Kottawa,20000000,4,4,2100,10.1
Kottawa,15500000,3,3,1645,7
Boralesgamuwa,24000000,4,3,2850,7
Malabe,19000000,3,3,2400,10
Malabe,24000000,4,4,2900,7
Malabe,16500000,3,2,1550,10
Battaramulla,120000000,4,4,4000,17.4
Moratuwa,50000000,4,3,3500,19
Boralesgamuwa,23000000,5,2,2500,8.6
Colombo 5,36000000,4,2,2500,6.5
Piliyandala,22000000,4,3,2200,8
Piliyandala,8700000,2,2,1250,6
Pannipitiya,13000000,3,3,1650,8.5
Colombo 5,25000000,4,2,2500,7
Battaramulla,45000000,4,5,2800,7.5
Maharagama,33000000,8,3,2850,15
Ratmalana,11000000,2,1,900,7.1
Colombo 5,70000000,6,6,3050,22
Nugegoda,35000000,5,3,2500,10
Talawatugoda,100000000,6,4,4000,17
Maharagama,8000000,3,1,1950,9
Malabe,19000000,3,3,2400,10
Malabe,23000000,4,4,2800,9
Malabe,11000000,3,3,1300,6.5
Athurugiriya,8700000,3,1,1100,7
Battaramulla,22500000,3,2,1800,10.5
Malabe,21000000,4,4,2450,7
Malabe,29000000,4,3,3000,10
Piliyandala,21500000,4,4,2900,8.5
Talawatugoda,32000000,5,4,2800,9.5
Malabe,23000000,4,3,3200,8
Battaramulla,15800000,3,2,1850,10
Battaramulla,170000000,6,5,5544,20
Maharagama,18000000,3,3,1950,8
Nugegoda,115000000,5,5,6500,14.8
Pannipitiya,21000000,4,3,2100,8.8
Nugegoda,52500000,5,4,4500,17.5
Malabe,15500000,3,2,1700,10
Talawatugoda,16500000,3,2,2650,7.7
Malabe,29000000,3,3,2100,7.2
Malabe,29000000,4,3,2650,12
Kohuwala,105000000,4,4,4600,37
Dehiwala,16000000,4,2,3000,6.3
Malabe,13000000,3,1,1800,10
Avissawella,8500000,4,2,2500,98
Padukka,6000000,3,2,1650,9.64
Talawatugoda,14300000,2,1,1000,10
Homagama,19600000,3,3,1900,6.5
Malabe,11800000,3,3,1500,8
Malabe,16000000,3,3,1600,10
Talawatugoda,21500000,4,3,2200,6.5
Moratuwa,28000000,4,4,3680,10
Ratmalana,56000000,4,2,2500,18.69
Wellampitiya,13500000,6,4,1500,9
Malabe,24000000,4,4,2900,7
Maharagama,43000000,4,4,4100,11.6
Kottawa,21500000,4,3,2500,9
Malabe,18000000,3,3,2300,6.5
Malabe,11000000,3,3,1300,6.5
Malabe,23000000,4,4,2800,9
Malabe,21000000,4,4,2450,7
Homagama,5500000,3,1,1500,20
Malabe,30000000,5,4,3500,16
Malabe,20000000,4,4,2500,10
Dehiwala,50000000,4,4,4400,7
Pannipitiya,14500000,3,1,1200,16.3
Nugegoda,47000000,5,4,4000,13.5
Piliyandala,5500000,1,1,850,6.5
Homagama,5500000,3,1,600,15
Malabe,19500000,4,4,2650,10.5
Battaramulla,50000000,6,5,3600,17.6
Talawatugoda,47500000,5,4,4800,10.25
Piliyandala,9500000,3,1,1600,10
Boralesgamuwa,27500000,4,2,1200,8
Colombo 5,40000000,5,3,2400,7.85
Moratuwa,12500000,3,1,1200,6
Malabe,23000000,4,3,2128,6
Kesbewa,12500000,3,3,2000,8
Malabe,46000000,4,4,3500,11.8
Malabe,21000000,4,4,2450,7
Kesbewa,12500000,3,3,2000,8
Ratmalana,16500000,6,3,3000,12
Moratuwa,10500000,2,1,1000,7.1
Malabe,20000000,4,4,2500,10
Malabe,22500000,4,4,2800,10
Malabe,33000000,6,6,3900,12
