,Location,Price,Beds,Baths,House Size,Land Size
251,"Kottawa, Colombo",18500000,5,4,"2,600.0 sqft",9.7 perches
252,"Malabe, Colombo",19000000,3,3,"2,400.0 sqft",10.0 perches
253,"Mount Lavinia, Colombo",65000000,7,6,"5,000.0 sqft",18.0 perches
254,"Malabe, Colombo",28500000,5,4,"3,800.0 sqft",10.5 perches
255,"Malabe, Colombo",33000000,6,6,"3,800.0 sqft",12.0 perches
256,"Malabe, Colombo",24000000,4,4,"2,900.0 sqft",7.0 perches
257,"Rajagiriya, Colombo",65000000,5,4,"3,500.0 sqft",12.0 perches
258,"Malabe, Colombo",25800000,4,3,"3,400.0 sqft",8.5 perches
259,"Talawatugoda, Colombo",45000000,3,2,"3,000.0 sqft",11.5 perches
260,"Dehiwala, Colombo",37000000,4,5,"4,000.0 sqft",10.0 perches
261,"Malabe, Colombo",16000000,3,3,"1,600.0 sqft",10.0 perches
262,"Battaramulla, Colombo",180000000,9,10,"18,300.0 sqft",60.26 perches
263,"Malabe, Colombo",21000000,4,4,"24,520.0 sqft",7.0 perches
264,"Athurugiriya, Colombo",31000000,4,5,"4,000.0 sqft",10.0 perches
265,"Malabe, Colombo",23000000,4,4,"2,800.0 sqft",9.0 perches
266,"Malabe, Colombo",18000000,4,4,"2,200.0 sqft",7.0 perches
267,"Homagama, Colombo",18500000,4,4,"2,382.0 sqft",8.5 perches
268,"Maharagama, Colombo",27000000,4,2,"2,500.0 sqft",8.35 perches
269,"Malabe, Colombo",19000000,3,3,"2,400.0 sqft",10.0 perches
270,"Malabe, Colombo",22500000,4,4,"2,800.0 sqft",8.0 perches
271,"Malabe, Colombo",19000000,3,3,"2,400.0 sqft",10.0 perches
272,"Malabe, Colombo",26000000,5,4,"3,300.0 sqft",8.0 perches
273,"Malabe, Colombo",11000000,3,3,"1,300.0 sqft",6.5 perches
274,"Malabe, Colombo",28500000,5,4,"3,500.0 sqft",10.0 perches
275,"Athurugiriya, Colombo",7900000,2,1,"1,300.0 sqft",12.0 perches
276,"Homagama, Colombo",18000000,5,3,"3,000.0 sqft",10.0 perches
277,"Nugegoda, Colombo",43000000,5,4,"3,209.0 sqft",7.85 perches
278,"Maharagama, Colombo",18000000,2,2,"1,500.0 sqft",11.25 perches
