,Location,Price,Beds,Baths,House Size,Land Size
424,Pannipitiya,39000000,5,3,4000.0,7.2
425,Battaramulla,255000000,4,4,3500.0,23.5
426,Boralesgamuwa,24000000,4,3,2300.0,7.0
427,Kotte,30000000,3,3,2250.0,6.38
428,Rajagiriya,30000000,4,1,1700.0,5.5
429,Boralesgamuwa,21000000,5,3,2500.0,9.8
430,Kottawa,13000000,3,3,1580.0,8.0
431,Malabe,22500000,4,4,2800.0,8.0
432,Kottawa,20000000,4,4,2100.0,10.1
433,Kottawa,15500000,3,3,1645.0,7.0
434,Boralesgamuwa,24000000,4,3,2850.0,7.0
435,Malabe,19000000,3,3,2400.0,10.0
436,Malabe,24000000,4,4,2900.0,7.0
437,Malabe,16500000,3,2,1550.0,10.0
438,Battaramulla,120000000,4,4,4000.0,17.4
439,Moratuwa,50000000,4,3,3500.0,19.0
440,Boralesgamuwa,23000000,5,2,2500.0,8.6
441,Colombo 5,36000000,4,2,2500.0,6.5
442,Piliyandala,22000000,4,3,2200.0,8.0
443,Piliyandala,8700000,2,2,1250.0,6.0
444,Pannipitiya,13000000,3,3,1650.0,8.5
445,Colombo 5,25000000,4,2,2500.0,7.0
446,Battaramulla,45000000,4,5,2800.0,7.5
447,Maharagama,33000000,8,3,2850.0,15.0
448,Ratmalana,11000000,2,1,900.0,7.1
449,Colombo 5,70000000,6,6,3050.0,22.0
450,Nugegoda,35000000,5,3,2500.0,10.0
451,Talawatugoda,100000000,6,4,4000.0,17.0
452,Maharagama,8000000,3,1,1950.0,9.0
453,Malabe,19000000,3,3,2400.0,10.0
454,Malabe,23000000,4,4,2800.0,9.0
455,Malabe,11000000,3,3,1300.0,6.5
456,Athurugiriya,8700000,3,1,1100.0,7.0
457,Battaramulla,22500000,3,2,1800.0,10.5
458,Malabe,21000000,4,4,2450.0,7.0
459,Malabe,29000000,4,3,3000.0,10.0
460,Piliyandala,21500000,4,4,2900.0,8.5
461,Talawatugoda,32000000,5,4,2800.0,9.5
462,Malabe,23000000,4,3,3200.0,8.0
463,Battaramulla,15800000,3,2,1850.0,10.0
464,Battaramulla,170000000,6,5,5544.0,20.0
465,Maharagama,18000000,3,3,1950.0,8.0
466,Nugegoda,115000000,5,5,6500.0,14.8
467,Pannipitiya,21000000,4,3,2100.0,8.8
468,Nugegoda,52500000,5,4,4500.0,17.5
469,Malabe,15500000,3,2,1700.0,10.0
470,Talawatugoda,16500000,3,2,2650.0,7.7
471,Malabe,29000000,3,3,2100.0,7.2
472,Malabe,29000000,4,3,2650.0,12.0
473,Kohuwala,105000000,4,4,4600.0,37.0
474,Dehiwala,16000000,4,2,3000.0,6.3
475,Malabe,13000000,3,1,1800.0,10.0
476,Avissawella,8500000,4,2,2500.0,98.0
477,Padukka,6000000,3,2,1650.0,9.64
478,Talawatugoda,14300000,2,1,1000.0,10.0
479,Homagama,19600000,3,3,1900.0,6.5
480,Malabe,11800000,3,3,1500.0,8.0
481,Malabe,16000000,3,3,1600.0,10.0
482,Talawatugoda,21500000,4,3,2200.0,6.5
483,Moratuwa,28000000,4,4,3680.0,10.0
484,Ratmalana,56000000,4,2,2500.0,18.69
485,Wellampitiya,13500000,6,4,1500.0,9.0
486,Malabe,24000000,4,4,2900.0,7.0
487,Maharagama,43000000,4,4,4100.0,11.6
488,Kottawa,21500000,4,3,2500.0,9.0
489,Malabe,18000000,3,3,2300.0,6.5
490,Malabe,11000000,3,3,1300.0,6.5
491,Malabe,23000000,4,4,2800.0,9.0
492,Malabe,21000000,4,4,2450.0,7.0
493,Homagama,5500000,3,1,1500.0,20.0
494,Malabe,30000000,5,4,3500.0,16.0
495,Malabe,20000000,4,4,2500.0,10.0
496,Dehiwala,50000000,4,4,4400.0,7.0
497,Pannipitiya,14500000,3,1,1200.0,16.3
498,Nugegoda,47000000,5,4,4000.0,13.5
499,Piliyandala,5500000,1,1,850.0,6.5
500,Homagama,5500000,3,1,600.0,15.0
501,Malabe,19500000,4,4,2650.0,10.5
502,Battaramulla,50000000,6,5,3600.0,17.6
503,Talawatugoda,47500000,5,4,4800.0,10.25
504,Piliyandala,9500000,3,1,1600.0,10.0
505,Boralesgamuwa,27500000,4,2,1200.0,8.0
506,Colombo 5,40000000,5,3,2400.0,7.85
507,Moratuwa,12500000,3,1,1200.0,6.0
508,Malabe,23000000,4,3,2128.0,6.0
509,Kesbewa,12500000,3,3,2000.0,8.0
510,Malabe,46000000,4,4,3500.0,11.8
511,Malabe,21000000,4,4,2450.0,7.0
512,Kesbewa,12500000,3,3,2000.0,8.0
513,Ratmalana,16500000,6,3,3000.0,12.0
514,Moratuwa,10500000,2,1,1000.0,7.1
515,Malabe,20000000,4,4,2500.0,10.0
516,Malabe,22500000,4,4,2800.0,10.0
517,Malabe,33000000,6,6,3900.0,12.0
518,Malabe,21500000,4,3,2200.0,6.5
519,Piliyandala,24000000,5,4,3600.0,11.5
520,Piliyandala,21500000,5,3,3500.0,24.0
521,Pannipitiya,8800000,4,2,1300.0,8.0
522,Moratuwa,17500000,5,4,2600.0,10.5
523,Athurugiriya,8000000,3,2,1000.0,6.8
524,Battaramulla,36000000,4,4,3500.0,7.75
525,Battaramulla,45000000,5,5,3150.0,7.5
526,Battaramulla,26500000,4,3,2500.0,7.8
527,Kotte,37000000,5,5,3750.0,9.4
528,Mount Lavinia,72000000,3,3,4100.0,6.0
529,Nugegoda,32000000,4,3,2500.0,8.0
530,Nugegoda,29500000,3,3,2800.0,8.7
531,Kohuwala,36000000,4,3,2500.0,8.0
532,Dehiwala,75000000,4,4,2500.0,13.25
533,Nugegoda,55000000,4,4,3500.0,13.0
534,Talawatugoda,32000000,4,3,3150.0,9.2
535,Dehiwala,46000000,4,4,3200.0,16.0
536,Kesbewa,10500000,3,2,1500.0,8.3
537,Talawatugoda,33500000,5,4,3800.0,7.8
538,Malabe,21000000,4,4,2800.0,7.5
539,Kesbewa,13000000,4,3,1600.0,11.5
540,Piliyandala,21000000,4,3,2200.0,7.0
541,Kesbewa,10000000,2,2,1240.0,6.0
542,Piliyandala,11800000,3,2,1500.0,6.5
543,Mount Lavinia,30000000,4,3,5000.0,12.0
